[2016-04-20 20:23:06 XLog:setup] INFO log4j完成初始化
[2016-04-20 20:23:06 Slf4jMLog$Slf4jMLogger$InfoLogger:log] INFO MLog clients using slf4j logging.
[2016-04-20 20:23:07 Slf4jMLog$Slf4jMLogger$InfoLogger:log] INFO Initializing c3p0-0.9.5.1 [built 16-June-2015 00:06:36 -0700; debug? true; trace: 10]
[2016-04-20 20:23:07 Slf4jMLog$Slf4jMLogger$InfoLogger:log] INFO Initializing c3p0 pool... com.mchange.v2.c3p0.ComboPooledDataSource [ acquireIncrement -> 3, acquireRetryAttempts -> 30, acquireRetryDelay -> 1000, autoCommitOnClose -> false, automaticTestTable -> null, breakAfterAcquireFailure -> false, checkoutTimeout -> 0, connectionCustomizerClassName -> null, connectionTesterClassName -> com.mchange.v2.c3p0.impl.DefaultConnectionTester, contextClassLoaderSource -> caller, dataSourceName -> 8c30hc9gebno6k1wxkfdm|581ac8a8, debugUnreturnedConnectionStackTraces -> false, description -> null, driverClass -> com.mysql.jdbc.Driver, extensions -> {}, factoryClassLocation -> null, forceIgnoreUnresolvedTransactions -> false, forceSynchronousCheckins -> false, forceUseNamedDriverClass -> false, identityToken -> 8c30hc9gebno6k1wxkfdm|581ac8a8, idleConnectionTestPeriod -> 60, initialPoolSize -> 3, jdbcUrl -> jdbc:mysql://localhost:3306/futureDB?zeroDateTimeBehavior=convertToNull&useUnicode=true&characterEncoding=UTF-8, maxAdministrativeTaskTime -> 0, maxConnectionAge -> 0, maxIdleTime -> 600, maxIdleTimeExcessConnections -> 0, maxPoolSize -> 20, maxStatements -> 0, maxStatementsPerConnection -> 0, minPoolSize -> 3, numHelperThreads -> 3, preferredTestQuery -> null, privilegeSpawnedThreads -> false, properties -> {user=******, password=******}, propertyCycle -> 0, statementCacheNumDeferredCloseThreads -> 0, testConnectionOnCheckin -> false, testConnectionOnCheckout -> false, unreturnedConnectionTimeout -> 0, userOverrides -> {}, usesTraditionalReflectiveProxies -> false ]
[2016-04-20 20:23:08 TestMyBatis:findAllInfo] INFO AllInfoModel [tid=001, ttable=dt_goodST, tname=商品站, ttype=0, typename=数据中心, torder=1, turl=http://www.100ppi.com/ppi/, visible=1, isDelete=0, updateDate=2016-04-20 17:48:09]
[2016-04-20 20:23:08 TestMyBatis:findAllInfo] INFO AllInfoModel [tid=012, ttable=dt_EleT, tname=电子表盘, ttype=0, typename=数据中心, torder=12, turl=http://www.100ppi.com/exchange/dzpb/, visible=0, isDelete=0, updateDate=2016-04-20 17:48:09]
[2016-04-20 20:23:08 TestMyBatis:findAllInfo] INFO AllInfoModel [tid=013, ttable=dt_goodTop, tname=大宗榜, ttype=0, typename=数据中心, torder=13, turl=http://top.100ppi.com/, visible=1, isDelete=0, updateDate=2016-04-20 17:48:09]
[2016-04-20 20:23:08 TestMyBatis:findAllInfo] INFO AllInfoModel [tid=014, ttable=dt_goodIndex, tname=商品指数, ttype=0, typename=数据中心, torder=14, turl=http://www.100ppi.com/cindex/, visible=1, isDelete=0, updateDate=2016-04-20 17:48:09]
[2016-04-20 20:23:08 TestMyBatis:findAllInfo] INFO AllInfoModel [tid=015, ttable=dt_goodFutureIndex, tname=现期指数, ttype=0, typename=数据中心, torder=15, turl=http://www.100ppi.com/cindex/qx.html, visible=1, isDelete=0, updateDate=2016-04-20 17:48:09]
[2016-04-20 20:23:08 TestMyBatis:findAllInfo] INFO AllInfoModel [tid=016, ttable=dt_industryIndex, tname=行业指数, ttype=0, typename=数据中心, torder=16, turl=http://www.100ppi.com/cindex/nyzs.html, visible=1, isDelete=0, updateDate=2016-04-20 17:48:09]
[2016-04-20 20:23:08 TestMyBatis:findAllInfo] INFO AllInfoModel [tid=017, ttable=dt_blockIndex, tname=板块指数, ttype=0, typename=数据中心, torder=17, turl=http://www.100ppi.com/cindex/xitu.html, visible=1, isDelete=0, updateDate=2016-04-20 17:48:09]
[2016-04-20 20:23:08 TestMyBatis:findAllInfo] INFO AllInfoModel [tid=018, ttable=dt_produceIndex, tname=产业链指数, ttype=0, typename=数据中心, torder=18, turl=http://www.100ppi.com/cindex/ichain-362.html, visible=1, isDelete=0, updateDate=2016-04-20 17:48:09]
[2016-04-20 20:23:08 TestMyBatis:findAllInfo] INFO AllInfoModel [tid=019, ttable=dt_cnMacroIndex, tname=中国宏观, ttype=0, typename=数据中心, torder=20, turl=http://www.100ppi.com/mac/, visible=1, isDelete=0, updateDate=2016-04-20 17:48:09]
[2016-04-20 20:23:08 TestMyBatis:findAllInfo] INFO AllInfoModel [tid=020, ttable=dt_worldMacroIndex, tname=全球宏观, ttype=0, typename=数据中心, torder=21, turl=http://www.100ppi.com/mac/world.html, visible=1, isDelete=0, updateDate=2016-04-20 17:48:09]
[2016-04-20 20:23:08 TestMyBatis:findAllInfo] INFO AllInfoModel [tid=100, ttable=news_fastNews, tname=快讯, ttype=1, typename=资讯中心, torder=100, turl=http://www.100ppi.com/kx/, visible=1, isDelete=0, updateDate=2016-04-20 17:48:09]
[2016-04-20 20:23:08 TestMyBatis:findAllInfo] INFO AllInfoModel [tid=101, ttable=news_nowNews, tname=动态, ttype=1, typename=资讯中心, torder=101, turl=http://www.100ppi.com/news/, visible=1, isDelete=0, updateDate=2016-04-20 17:48:09]
[2016-04-20 20:23:08 TestMyBatis:findAllInfo] INFO AllInfoModel [tid=102, ttable=news_hotNews, tname=热点, ttype=1, typename=资讯中心, torder=102, turl=http://www.100ppi.com/hot/, visible=1, isDelete=0, updateDate=2016-04-20 17:48:09]
[2016-04-20 20:23:08 TestMyBatis:findAllInfo] INFO AllInfoModel [tid=103, ttable=news_dataNews, tname=数据资讯, ttype=1, typename=资讯中心, torder=103, turl=http://www.100ppi.com/data/info/, visible=1, isDelete=0, updateDate=2016-04-20 17:48:09]
[2016-04-20 20:23:08 TestMyBatis:findAllInfo] INFO AllInfoModel [tid=104, ttable=news_reportNews, tname=研究报告, ttype=1, typename=资讯中心, torder=104, turl=http://www.100ppi.com/report/, visible=1, isDelete=0, updateDate=2016-04-20 17:48:09]
[2016-04-20 20:23:08 TestMyBatis:findAllInfo] INFO AllInfoModel [tid=201, ttable=view_point, tname=观点, ttype=1, typename=观点中心, torder=201, turl=http://www.100ppi.com/view/, visible=1, isDelete=0, updateDate=2016-04-20 17:48:09]
[2016-04-20 20:23:08 TestMyBatis:findAllInfo] INFO AllInfoModel [tid=202, ttable=view_analysis, tname=分析, ttype=1, typename=观点中心, torder=202, turl=http://www.100ppi.com/forecast/, visible=1, isDelete=0, updateDate=2016-04-20 17:48:09]
[2016-04-20 20:23:08 TestMyBatis:findAllInfo] ERROR error!!!
